content,score,Label
"menjadi salah satu aplikasi kesukaan,karna saya suka jalan2 jd saya serinf seacrh ditraveloka byk diskon juga.",5,Positif
Sangat membantu segala urusan saya...,5,Positif
"Wow aplikasinya sangat membantu sekali, memudahkan dalam memesan tiket hotel ataupun tiket lainnya, sukses selalu Traveloka",5,Positif
cepat..tdk ribet..,4,Positif
"Ga tau mo ngomong apa,, mo pesan hotel aga susah masok y",1,Negatif
"lokasi hotel tidak sesuai dengan yang ada dipeta, harga hotel tidak sesuai dengan yg tertera ditraveloka... pihak hotel dan traveloka tidak memiliki kerja sama yang baik...ketetapan harga dari pihak hotel berbeda dari aplikasi traveloka...sehingga saya harus membayar lagi karna akan dicancel dr pihak hotel",1,Negatif
"Sangat bagus, dan membantu mempermudah traveling",5,Positif
suka heran dengan limit paylaternya tiba2 diturunkan ga jelas,5,Positif
"Perubahan harga yang sangat tinggi, dan tidak ada info jika harga tiket ada perubahan. Apalagi harga tiket sesama papua, itu sebanding harga tiket kalau keluar papua. Kacau. Kecewa",1,Negatif
"Puas dengan traveloka, apalagi saat epic & refund cepat",5,Positif
"tidak pakai ribet cari tiket, Traveloka solusinya",5,Positif
NGAPAIN KASIH LIMIT 1JT KALO GA BISA DI BUAT BELI TIKET KERETA!!!,1,Negatif
"Sangat sangat mengecewakan luar biasa traveloka pencuri, mendebit rekening saya dgn jumlah yang sama di harga 1 tiket. Minta pengembalian dana tidak ada respon. Csnya robot seperti itu slow respon dan gak ada cs via WA untuk minta bantuan sangat2 menyesal. Dua kali terjadi dgn hal yang sama Terakhir kali sy pakai traveloka 👎",1,Negatif
Sekarang traveloka suka Nipu....Nipu Pelanggan ..iya kan...,1,Negatif
"Sya bingung, gmna cara nya ganti email traveloka sya, email sya tdk bsa dibuka jdi menyusahkan saya utk verifikasi dlm proses pembelian",3,Netral
"traveloka payah, saya kedobelan order hotel dan tagihan hotel ada 2 juga padahal sdh melakukan refund... sudah saya bayar hotel yg tdk saya refund kok bisa²nya ada tagihan paylatter dobel. payah",1,Negatif
"Membuat kita selalu mudah dalam melakukan akses perjalanan,baik lokal maupun internasional. Dengan pembayaran yang selalu mudah dijangkau.",5,Positif
"Sudah pakai versi 3.86.0 tapi aplikasi gak bisa digunakan. Gimana ini traveloka,makin kesini bukannya makin bagus malah makin buruk.",1,Negatif
"Booking tiket pas harga murah tpi pas masuk tahap pembayaran harganya pasti naik, trs saya keluarkan lagi ternyata harganya masih murah blm naik, saya booking ulang lagi dong tpi pas masuk tahap pembayaran harga tiba tiba naik lagi, pas dikeluarkan murah lagi dong, gimna si mau booking jdi bingung sendiri, emng gitu ya",1,Negatif
To Admin: kenapa traveloka sekarang aplikasinya malah ngikutin trend aplikasi sebelah? Pake ada video2 ga jelas. Kenapa sih ga focus aja ke penjualan tiket? Yang ada malah buat app jadi berat. Perubahan yang ga penting. Maaf saya ga pake apps ini lagi sampai ada perubahan yang berarti,1,Negatif
"Kenapa sekarang Pembayaran kartu kredit traveloka paylater dari aplikasi traveloka gak bisa langsung bayar di aplikasi, sekarang malah diarahkan melalui e comerce, setelah bayar di e comerce pun gak langsung masuk . Nunggunya lama",1,Negatif
beli tiket lancar via traveloka,5,Positif
Mau bayar cicilan payleter tapi gk bisa. Udah berulang kali di download dan uninstal tapi tetap saja,1,Negatif
"di aplikasi traveloka in yg slalu ter update ko mkin ribet di pahami, sya mau bnyar spaylater sya tpi ko g ad tertera pembayaran melalui ap, hnya tnda centang biru. Tlong di usut oleh pihak admin traveloka, krna sya mau bnyar tpat waktu.",1,Negatif
sangat membatu,5,Positif
"Pegembalian refund yg terlalu lama, padahal setiap beli tiket selalu dtraveloka",5,Positif
"Refund supaya TF ke bank ga bisa,tapi refund ke point basic bisa,masalahnya ini point basic ga bisa di pake untuk pembayaran apa"",aplikasinya mengecewakan,uangku hangus😭😭😭",1,Negatif
harga lebih murceee..😍😍😍😍,5,Positif
"Gua kira klo refund tinggal ngirim no rek doang gausa ngisi ccv rekening segala, karena itu hal privasi. Mana cs yang namanya Wisnu ngeselin banget, maaksih dah. Ga lagi gua pesen di Traveloka",1,Negatif
sangat membantu 👍👍👍👍👍👍,5,Positif
"Sangat membantu banget si traveloka ini, ayo buruan pakai lebih mudah dan praktis",5,Positif
Saya transaksi paylater tapi mengajukan refund Krn pindah hotel yg lebih dekat tujuan tp masih terkena biaya bunga pengajuan paylater transaksi sebelumnya,1,Negatif
Traveloka pay latternya ga bisa baca data apa yah.. musti2 tlp ga jelas.. kerja yg membangun jangan mengggangu,1,Negatif
semoga kedepannya Traveloka menjadi teman untuk pergi dan kembali dengan nyaman dan harga terjangkau.sukses slalu Traveloka 🤗,5,Positif
"Bepergian dengan mudah tanpa harus mengantri beli tiket ,tinggal klik pesan apa yang mau di tuju ,sekarang kemana mana berangkat tidak payah lagi beli tiket keluar rumah",5,Positif
"aplikasi yg dimana paket lengkap utk memesan, apalagi kalo berlibur bareng keluarga , apalagi kalo dpt potongan diskon malah tambah seneng saya tuh harganyaa 😊",5,Positif
Sangat memudah kan sekali dalam melakukan perjalanan ... Aplikasinya sngt bgus....,5,Positif
sangat mudah untuk berpegian kemana saja melalui aplikasi Traveloka,5,Positif
Aplikasi burik jelek,1,Negatif
Saya sudah coba refund tiket pesawat tapi gagal terus alasannya nomor rekening yang di masukkan salah coba 24 jam kemudian sudah di tunggu 24 jam di refund lagi tapi tetap ngak bisa Padahal rekening yang di masukkan sudah benar soalnya tiket kereta di KAI access di refund juga dengan nomor rekening yang sama benar nomor rekening ngak ada yang salah Kalo gini kapok deh pake Traveloka mending pake aplikasi lain aja,1,Negatif
Saya pernah mengganti jadwal untuk dari sgp balik ke indonesia tapi tidak masuk sampai maskapainya jadi saya harus membayar lagi untuk keberangkatan kembali ke indonesia.,1,Negatif
aplikasi yang sangat membantu dan bnayak promo nya....,5,Positif
Sangat puas dengan layanan serta promo dan produk..saya berikan 5🌟.dan satu yg kurang pembeli pulsa melaui payleter yg tdk ada,5,Positif
Terumakasih memudahkan segalanya,5,Positif
"setelah di update ke versi terbaru, ketika saya ingin mencari hotel sering tiba-tiba stuck blackscreen dan balik ke menu awal, smartphone android versi 7.",1,Negatif
Apakah travelokaeats bisa muncul kembali.....saya sebagai driver sangat terbantu...kalo ada lagi saya senang mendengarnya....,5,Positif
"Kalau emang ga niat jual tiket, mending ga usah deh dari pada bikin susah. Udah lebih dari 3x saya pesen disini selalu ada kendala",1,Negatif
Di tambah lagi dong limit payleter nya.wkwkw,5,Positif
"Untuk pesan tiket dn liburan sangat membntu,dan memudahkan setiap di perlukan toppp bgettt,smua di google play urusan teratasi....👍👍👍👍👍traveloka aja 👌👌👌",5,Positif
"Sejak ada Traveloka, mau pergi kemana"" jadi mudah dan menyenangkan 👍",5,Positif
Menarik dan lengkap,5,Positif
Selalu menggunakan traveloka untuk pemesanan tiket pesawat.. Terimakasih Traveloka..😊,5,Positif
"saya selalu menggunakan aplikasi ini setiap membeli tiket pesawat,sangat membantu sekali tdk ribet,dimanapun dan kapanpun..dengan menu pembayaran yg sangat flexsibel😫😫",5,Positif
"kecewa banget,dari dulu kalo beli tiket selalu di traveloka.tapi untuk saat ini sangat kecewa,karena etiket tidak bisa terbit.padahal saya sudah melakukan pembayaran",1,Negatif
"pembayaran mudah, akses cepat",5,Positif
Skor paylater turun padahal pembayaran tepat waktu terus. Harusnya naik Krn pemakaian rutin dan pembayaran tepat waktu ini malah turun .aneh.Traveloka payah.,1,Negatif
Mantap mantap gan,5,Positif
"Pay later dah di level platinum pembayaran tidak pernah telat,,tp sudah 3 bulan setiap mau pakek VA selalu alasan gangguan keamanan... Yah ngapain dikasih limit banyak2 tp nggk bisa dipakai.....kocak!!!!MAKIIIIN PARAAH WOIIII LIMIT BANYAK,PEMBAYARAN BAGUS,TAPI TIDAK BISA DIGUNAKAN UNTUK APA APA BUANG2 WAKTU....TIDAK RECOMENDED",1,Negatif
"👎👎👎👎👎 Traveloka tidak bisa dibuka dan saya hapus kemudian instal ulang, tapi malah harus daftar lagi sebagai member baru semua point traveloka saya hilang",1,Negatif
Kamera sudah bener foto sudah sesuai knp kabur teruss yaa,5,Positif
"Gatau deh aneh tiba2 limit paylater di bekukan, padahal baru mau dipake!",3,Netral
Setelah update tidak bisa di akses,1,Negatif
"sangat membantu saat traveling, dengan sangat banyak kemudahan. minusnya sering minta update terus, overall good",5,Positif
Mudah Simple Dan Sangat Bermanfaat Sekali...,5,Positif
Sangat membantu dan banyak promo promo yg mura...,5,Positif
Memudahkan untuk mencari dan memesan tiket pesawat maupun hotel,5,Positif
"Mohon untuk Traveloka kebijakannya,,,saya sudah refund jauh2 hari sebelum keberangkatan tapi saya tetap bayar paylaternya,,udah 3bulan berlangsung pembayarannya",1,Negatif
Sangat mempermudah untuk melakukan pemesan,5,Positif
Aplikasinya sangat membantu untuk mencari hotel dan promo liburan.,5,Positif
"Katanya bisa refund tapi berkali2 coba refund ga bisa. Dikasih batas waktu 24 jam lg buat coba refund, tapi batas refund yg di booking tinggal 2 jam lagi. Haduh...",3,Netral
Traveloka emang the best aplikasi makin update makim banyak feature terbaru kayak traveloka explore jadi bisa upload video dan dapet bonus point.,5,Positif
"Etiket gak ada di notif ke email, kalo perubahan jadwal gak ada notif ke email ato nohp. Bikin ribet, suntuk...",2,Negatif
Pemesanan tiket KAI menggunakan treveloka sangat mudah,5,Positif
Sangat membantu,5,Positif
Aplikasinya mudah dan sangat membantu sekali..,5,Positif
Semoga tidak ada kendala seperti aplikasi sebelah... terutama untuk kendala pembelian tiket pesawat dll. 👍👍,5,Positif
"Harga bagasi tambahan tidak akurat, saya beli bagasi tambahan saya sudah bayar sama persis sama di aplikasi, terus pihak treveloka telpon katanya harga bagasi tambahan naik mau tambah uang lagi, Kalo emang naik ya seharusnya di aplikasi treveloka naik jugak kan ini gak, sangat mengcewakan",1,Negatif
"Udah lama pakai aplikasi ini ,,tapi paylater ga di Approve dan CC Juga Gagal terus...4 tahun lebih pakai aplikasi ini namun hanya dapat sekali kesempatan pengajuan paylater.",2,Negatif
"""Dengan menyesal kami informasikan bahwa refund Anda dengan alasan Penerbangan dibatalkan atau di-reschedule oleh maskapai ditolak karena maskapai tidak mengonfirmasi adanya pembatalan atau perubahan jadwal yang signifikan sesuai dengan kebijakan maskapai dalam penerbangan Anda."" Udah penerbangan dibatalkan, di web maskapai status jelas cancelled, mau refund malah ditolak dengan info yang tidak menjelaskan sama sekali seakan-akan yang salah penumpang.",1,Negatif
"gue hapus aplikasi ini karena dari taun kemarin paylater belum jg disetujui,masih banyak aplikasi serupa yg lebih ok",1,Negatif
Pemesanan tiket yg lebih gampang pembayaran aman..,5,Positif
Terimakasih traveloka sudah membatu perjalanan saya,5,Positif
eror ga bisa akses untuk bayar KAI,1,Negatif
"Ternyata twiter udah ganti jdi pelayanan hotel dan tiket pesawat, pantes dicari diplaystore ga ada lagi. Terimakasih Twiter udah menjadi sosmed terbaik dalam hidupku selain Instagram dan Facebook",5,Positif
"Dasar traveloka yang tidak bertanggung jawab,refund tidak tidak bisa padahal kesalahan dari maskapai,pasti sudah banyak orang yang di rugikannya oleh pihak traveloka ini😡",1,Negatif
Saya mau melalukan refund karena istri saya hamil..sudah saya lengkapi dokumen dengan melampirkan surat keterangan kehamilan dari rumah sakit...TPI selalu tidak disetujui..ini terakhir kali saya aplikasi..saya kecewa berat..semoga orang menyadari betapa ruginya menggunakan aplikasi ini..,1,Negatif
Kenapa di aplikasi yg terbaru ini enggak ada menu pilih kursinya ya?,5,Positif
Payleter travelola tidak bisa berbelanja di tiktok ya,4,Positif
"Kenapa dah aplikasinya, cuma ngestuck di logo nya doang....",2,Negatif
Pesan di batalkan dengan sepihak. Juga di suruh reschedule tapi harus beli tiket lagi uang tidak di kembalikan. Apk penipuan. Cs SDH ambil uangnya jdi GK bisa dihubungi,1,Negatif
utk pengguna awal Traveloka pemesanan sangat dimudahkan. semoga setelah perjalanan pun tidak ada kendala. terimakasih,5,Positif
Setelah update malah tambah lemot,1,Negatif
"Tiba"" limit paylater saya jadi 0 kayanya gara"" saya lupa kasih reting . Padahal saya bayar tagihan tepat waktu.jadi males pake Traveloka",1,Negatif
"Mbak/mas, INTERNET SAYA ATAU JARINGAN SAYA STABIL. TAPI DARI APLIKASI TRAVELOKA NYA MEMANG TIDAK MENGIRIM SMS VERIFIKASI KE SAYA! INI APLIKASI SEPERTI APLIKASI BODONG!",1,Negatif
"terima kasih, sangat membantu",5,Positif
"Sangat bagus traveloka ini, harga juga tidak jauh beda dengan yg lain",5,Positif
Sangat membantu,5,Positif
Mohon ditinjau lagi. Level paylater menurun padahal tdk ada masalah dengan pembayaran,5,Positif
Mempermudah perencanaan perjalanan dan pemesanan tiket transportasi,5,Positif
Sangat puas dan sangat terbantu berkat traveloka layanan traveloka gak ada tanding super baik super cepat respon mantap👍👍👍👍👍trimakasi traveloka🙏🙏🙏🙏🙏. Kalo ada bintang 10 udh saya kasi bintang 10 ini hahaha,5,Positif
aplikasi yg sangat membantu saya utk menunjang aktifitas saya agar lebih mudah...makasih traveloka...,5,Positif
"Aku tidak pernah menggunakan aplikasi pemesanan tiket online selain traveloka, terakhir liburan juni mulai tiket pesawat, hotel, wahana experience smpi kereta api utk keliling 5 kota dijawa semua lancar, setiap review hotel aku pastikan tuk baca sampai review di google maps jg sebagai pembanding, mengisi data dg teliti setiap melakukan pemesanan. utk pembayaran selalu Via transfer bank, jd klo pembayaran lwt paylater atau kartu kredit aku belum jd tdk bs kasih komentar. Sukses trs Traveloka",5,Positif
Bagus banget apknya,5,Positif
sudah beberapa bulan traveloka paylater tidak bisa digunakan akhir nya bisa digunakan dapat info penurunan level.. Padahal tidak pernah telat selalu bayar tepat waktu...kecewa banget sama traveloka,1,Negatif
fitur tagihan & isi ulang kenapa menghilang? setelah saya update koq malah fitur yg paling penting menghilang? saya kasih bintang 1 aja,1,Negatif
"Update terus , kebanyakan update kenapa ga sekaligus aja",3,Netral
"Tidak sengaja terupdate, kolom diskonnya berubah menyusahkan, kembalikan seperti dulu saja.. tks",1,Negatif
semoga tidak dibatalkan lagi tiket yg telah saya beli,3,Netral
"Main main aja, saya sebagai wna sangat kecewa dengan traveloka, karena tidak jelas, dan mereka berbohong",1,Negatif
sangat membantu,5,Positif
nyaman transaksi sistem online,1,Negatif
"Tidak semua hotel baik disini, pengalaman saya menginap di Hotel POP Serpong BSD City sangat mengecewakan, pesan sebelum jam check-in, datang malam status kamar masih penuh, sampai tengah malam pun tidak ada kejelasan, dan tidak bisa di refund!, akhirnya saya pesan offline hotel di lokasi lain, dan setelah ada tanggapan dari pihak traveloka, hasilnya tetap sama dan malah buang² waktu, intinya unistal traveloka dan jangan pernah dipakai lagi 😁",1,Negatif
Buka aplikasinya kok berat ya? Sering error juga,1,Negatif
sangat membantu,4,Positif
"Mohon maintance ulang min, aplikasi terlalu berat untuk tampilan one UI terbaru",1,Negatif
